storm,season,peak_kt,peak_category,fixes,track_mae_km,track_max_km,vmax_mae_kt
AMPHAN,2020,130.0,Super Cyclonic Storm,21,100.69362584721173,312.4172945730108,13.757283319403655
MOCHA,2023,115.0,Extremely Severe Cyclonic Storm,20,97.15676588350972,208.88862469147688,11.696558533399331
TAUKTAE,2021,100.0,Extremely Severe Cyclonic Storm,20,126.04101304392051,265.6543314884475,16.664592343768494
BIPARJOY,2023,90.0,Extremely Severe Cyclonic Storm,52,91.61114675238815,169.20359878391687,9.200037772890088
REMAL,2024,60.0,Severe Cyclonic Storm,8,126.69065599421214,224.50897912088882,5.301385633018423
